2011-08-18 22:07:37 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 142]
2011-08-18 22:10:41 Debug: Notice (8): Undefined index: year_copyright in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 332]
2011-08-18 22:10:42 Debug: Notice (8): Undefined index: year_copyright in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 332]
2011-08-18 22:12:07 Debug: Notice (8): Undefined index: year_copyright in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 331]
2011-08-19 15:01:52 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 151]
2011-08-19 15:01:52 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-19 15:01:52 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 33]
2011-08-19 15:01:52 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 55]
2011-08-19 15:01:52 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 15:01:52 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 74]
2011-08-19 15:01:53 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 151]
2011-08-19 15:01:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-19 15:01:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 33]
2011-08-19 15:01:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 55]
2011-08-19 15:01:53 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 15:01:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 74]
2011-08-19 15:10:52 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-19 15:10:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 33]
2011-08-19 15:10:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 55]
2011-08-19 15:10:53 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 15:10:53 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 74]
2011-08-19 15:11:55 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 151]
2011-08-19 15:11:56 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-19 15:11:56 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 33]
2011-08-19 15:11:56 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 55]
2011-08-19 15:11:56 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 15:11:56 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 74]
2011-08-19 15:12:55 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 151]
2011-08-19 16:16:40 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-19 16:16:40 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 33]
2011-08-19 16:16:40 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 55]
2011-08-19 16:16:40 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 16:16:40 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 74]
2011-08-19 16:18:44 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 9]
2011-08-19 16:18:44 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 31]
2011-08-19 16:18:44 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 35]
2011-08-19 16:18:44 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 48]
2011-08-19 16:18:44 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 16:18:44 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\orico.ctp, line 67]
2011-08-19 17:27:35 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 9]
2011-08-19 17:27:35 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 33]
2011-08-19 17:27:35 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 55]
2011-08-19 17:27:35 Debug: Notice (8): Undefined variable: noticiasProcesadas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 177]
2011-08-19 17:27:35 Debug: Notice (8): Undefined variable: contenido in [C:\xampp\htdocs\orico_consulting\views\layouts\seccion.ctp, line 74]
2011-08-19 17:38:39 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\publico\index.ctp, line 3]
2011-08-19 17:38:39 Debug: Notice (8): Undefined variable: seccionesGeneradas in [C:\xampp\htdocs\orico_consulting\views\helpers\orico.php, line 129]
2011-08-19 17:38:39 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\publico\index.ctp, line 7]
2011-08-19 17:40:48 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 145]
2011-08-19 17:40:49 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 145]
2011-08-20 14:19:19 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 145]
2011-08-20 14:20:01 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\publico\seccion.ctp, line 6]
2011-08-22 22:58:02 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 152]
2011-08-22 22:58:13 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 152]
2011-08-23 16:13:04 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 142]
2011-08-23 16:13:09 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 142]
2011-08-23 16:13:25 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 142]
2011-08-23 19:36:45 Debug: Notice (8): Undefined variable: datos in [C:\xampp\htdocs\orico_consulting\views\usuarios\login.ctp, line 2]
2011-08-23 22:42:03 Debug: Notice (8): Undefined property: PublicoController::$Security in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 18]
2011-08-24 22:11:01 Debug: Notice (8): Undefined property: UsuariosController::$Security in [C:\xampp\htdocs\orico_consulting\controllers\usuarios_controller.php, line 25]
2011-08-24 22:25:50 Debug: Notice (8): Undefined property: View::$Auth in [C:\xampp\htdocs\orico_consulting\views\adm\index.ctp, line 2]
2011-08-24 22:25:50 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\orico_consulting\views\adm\index.ctp, line 2]
2011-08-24 23:03:02 Debug: Notice (8): Undefined property: UsuariosController::$Security in [C:\xampp\htdocs\orico_consulting\controllers\usuarios_controller.php, line 16]
2011-08-24 23:08:10 Debug: Notice (8): Undefined property: UsuariosController::$Security in [C:\xampp\htdocs\orico_consulting\controllers\usuarios_controller.php, line 16]
2011-08-24 23:08:50 Debug: Notice (8): Undefined property: UsuariosController::$Security in [C:\xampp\htdocs\orico_consulting\controllers\usuarios_controller.php, line 16]
2011-08-25 19:41:32 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 147]
2011-08-25 20:18:29 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 156]
2011-08-25 21:13:29 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 156]
2011-08-26 19:53:36 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 147]
2011-08-26 19:56:52 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 147]
2011-09-01 19:22:04 Debug: Notice (8): Undefined property: PublicoController::$Link in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 36]
2011-09-01 19:22:09 Debug: Notice (8): Undefined property: PublicoController::$Link in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 36]
2011-09-03 15:37:20 Debug: Notice (8): Undefined index: Contenido in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 158]
2011-09-03 15:37:51 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 149]
2011-09-03 15:42:29 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 149]
2011-09-03 15:43:00 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 149]
2011-09-03 15:43:10 Debug: Notice (8): Undefined index: Noticia in [C:\xampp\htdocs\orico_consulting\controllers\publico_controller.php, line 149]
2011-10-02 02:38:13 Notice: Notice (1024): Schema generation error: invalid column type enum('root','cms','web') does not exist in DBO in [/home/pavel/bin/cakephp1312/cake/libs/model/cake_schema.php, line 606]
2011-10-02 14:41:55 Notice: Notice (1024): Schema generation error: invalid column type enum('root','cms','web') does not exist in DBO in [/home/pavel/bin/cakephp1312/cake/libs/model/cake_schema.php, line 606]
2011-10-02 14:47:04 Notice: Notice (1024): Schema generation error: invalid column type enum('root','cms','web') does not exist in DBO in [/home/pavel/bin/cakephp1312/cake/libs/model/cake_schema.php, line 606]
2011-10-02 14:54:00 Notice: Notice (8): Undefined property: View::$Orico in [/srv/www/htdocs/egoappform/views/publico/index.ctp, line 3]
2011-10-02 21:39:13 Notice: Notice (1024): Schema generation error: invalid column type enum('root','cms','web') does not exist in DBO in [/home/pavel/bin/cakephp1312/cake/libs/model/cake_schema.php, line 606]
2011-10-02 22:49:54 Notice: Notice (8): Undefined property: PublicoController::$Menu in [/srv/www/htdocs/egoappform/controllers/publico_controller.php, line 30]
2011-10-02 23:42:11 Notice: Notice (8): Undefined property: PublicoController::$Sexo in [/srv/www/htdocs/egoappform/controllers/publico_controller.php, line 35]
2011-10-03 02:59:03 Notice: Notice (8): Undefined index: sexo in [/srv/www/htdocs/egoappform/views/clubs/index.ctp, line 35]
